param_C,param_gamma,mean_test_score,std_test_score,rank_test_score
10.0,0.01,0.8198139277352559,0.005148009249461382,1
1.0,0.01,0.8191902304122772,0.005448507179568582,2
100.0,0.01,0.8158939769126313,0.0047714333840374,3
1.0,0.1,0.8151810538108248,0.003506848227810832,4
0.1,0.1,0.8115728375375392,0.004988373331123947,5
0.1,0.01,0.8103257207298613,0.006405297825380252,6
10.0,0.1,0.8015056254809455,0.0024542369198558875,7
1.0,1.0,0.7894338697762062,0.001893463783447889,8
1.0,10.0,0.7779856724753059,0.0007717806640084864,9
0.1,1.0,0.7778074789103382,9.824548134743844e-05,10
0.1,10.0,0.7778074789103382,9.824548134743844e-05,10
100.0,0.1,0.7729075627083477,0.006246703362144795,12
10.0,1.0,0.768987393584218,0.00437223260005663,13
10.0,10.0,0.7688539022138253,0.0018424389641005878,14
100.0,10.0,0.7670275818990346,0.0017061554847968433,15
100.0,1.0,0.7486744385310095,0.004880147619434827,16
